stop_id,stop_name,FALSE,TRUE,over_2,under_2,total,pct_over_2,stop_lat,stop_lon,ons,offs,Project.Planning
SEPTA21687,54th St & Lebanon Av,199,NA,0,199,199,0,39.987468,-75.232514,140,26,NA
SEPTA21693,52nd St & Media St,138,NA,0,138,138,0,39.975812,-75.226746,144,24,NA
SEPTA21695,52nd St & Thompson St - FS,133,NA,0,133,133,0,39.97275,-75.226176,162,29,NA
SEPTA21698,52nd St & Parrish St - FS,141,NA,0,141,141,0,39.966411,-75.224954,142,50,NA
SEPTA21699,52nd St & Race St,158,NA,0,158,158,0,39.963153,-75.224325,102,55,NA
SEPTA21705,52nd St & Pine St,140,NA,0,140,140,0,39.953633,-75.226313,146,259,NA
SEPTA21730,54th St & Kingsessing Av - FS,124,NA,0,124,124,0,39.938739,-75.221727,98,3,NA
SEPTA21731,54th St & Springfield Av,144,NA,0,144,144,0,39.940697,-75.224035,144,9,NA
SEPTA21736,Whitby Av & 53rd St,137,NA,0,137,137,0,39.94581,-75.228756,144,26,NA
SEPTA21737,52nd St & Catherine St - FS,161,NA,0,161,161,0,39.949118,-75.227081,97,8,NA
SEPTA21739,52nd St & Larchwood Av,148,NA,0,148,148,0,39.951929,-75.226483,131,19,NA
SEPTA21740,52nd St & Pine St - FS,143,NA,0,143,143,0,39.953695,-75.226124,150,49,NA
SEPTA21742,52nd St & Locust St - FS,164,NA,0,164,164,0,39.955979,-75.225645,91,35,NA
SEPTA21905,Frankford Av & Lyman Dr - FS,94,NA,0,94,94,0,40.064471,-74.983415,97.28716074946725,3.019430569430569,NA
SEPTA21921,Frankford Av & Placid St - FS,177,NA,0,177,177,0,40.050551,-75.010321,115.97306433246835,23.8876430715827,NA
SEPTA21927,Frankford Av & Blakiston St,149,NA,0,149,149,0,40.044978,-75.017389,90.77359057780885,22.638922055756428,NA
SEPTA21930,Frankford Av & Stanwood St - FS,146,NA,0,146,146,0,40.042929,-75.024141,100.81398244857996,34.24965641084062,NA
SEPTA21931,Frankford Av & Welsh Rd,146,NA,0,146,146,0,40.04239,-75.025575,93.29718223383085,25.679073497881546,NA
SEPTA21932,Frankford Av & Decatur St,146,NA,0,146,146,0,40.040797,-75.029947,101.94731287804042,20.900373572935496,NA
SEPTA21937,Frankford Av & Bleigh Av,130,NA,0,130,130,0,40.037886,-75.037943,163.7249413168531,47.52313814496477,NA
SEPTA21939,Frankford Av & Tyson Av - FS,170,NA,0,170,170,0,40.033665,-75.047011,107.38712640558616,32.6716186247533,NA
SEPTA21940,Frankford Av & Longshore Av - FS,169,NA,0,169,169,0,40.032948,-75.048965,101.52128792260372,45.467233905585296,NA
SEPTA22140,Spruce St & 5th St,156,NA,0,156,156,0,39.945177,-75.149916,118.11666666666666,3.083333333333333,NA
SEPTA22513,Roosevelt Blvd & Welsh Rd,201,NA,0,201,201,0,40.07389,-75.034919,136.79785786885705,584.4558380962656,NA
SEPTA22905,Roosevelt Blvd & Rhawn St,303,NA,0,303,303,0,40.056987,-75.046957,280.042848820151,270.02166552126084,NA
SEPTA23049,Hunting Park Av & Germantown Av,117,NA,0,117,117,0,40.016032,-75.153741,109,235,NA
SEPTA232,Wister St & Chelten Av,104,NA,0,104,104,0,40.051857,-75.157718,116.97503370812197,100.05940644322996,NA
SEPTA23292,Roosevelt Blvd & Langdon St,223,NA,0,223,223,0,40.027823,-75.098525,127,122,NA
SEPTA24090,Frankford Av & Harrison St,146,NA,0,146,146,0,40.019209,-75.081508,79,12,NA
SEPTA24093,Frankford Av & Sellers St,144,NA,0,144,144,0,40.013956,-75.086356,85,77,NA
SEPTA24549,Oregon Av & 23rd St,150,NA,0,150,150,0,39.918639,-75.186386,113.75436507936509,90.1075396825397,NA
SEPTA25157,22nd St & Pennsylvania Av,147,NA,0,147,147,0,39.962651,-75.174745,92.99643332235111,147.45120456769078,NA
SEPTA25203,Hamilton St & 21st St,199,NA,0,199,199,0,39.962452,-75.173329,217.09071561572964,112.20223017558902,NA
